Prev_Theta1	Prev_Theta2	Start_Theta1	Start_Theta2	End_Theta1	End_Theta2	Torque1	Torque2
0.001066	-0.004849	0.001016	-0.004386	0.000968	-0.003939	0.02	-0.58
0.001016	-0.004386	0.000968	-0.003939	0.000923	-0.003509	0.02	-0.57
0.000968	-0.003939	0.000923	-0.003509	0.000880	-0.003097	0.02	-0.58
0.000923	-0.003509	0.000880	-0.003097	0.000838	-0.002702	0.02	-0.58
0.000880	-0.003097	0.000838	-0.002702	0.000799	-0.002323	0.02	-0.58
0.000838	-0.002702	0.000799	-0.002323	0.000762	-0.001962	0.02	-0.57
0.000799	-0.002323	0.000762	-0.001962	0.000726	-0.001618	0.02	-0.59
0.000762	-0.001962	0.000726	-0.001618	0.000692	-0.001292	0.02	-0.60
0.000726	-0.001618	0.000692	-0.001292	0.000660	-0.000983	0.02	-0.58
0.000692	-0.001292	0.000660	-0.000983	0.000629	-0.000688	0.02	-0.49
0.000660	-0.000983	0.000629	-0.000688	0.000600	-0.000410	0.02	-0.54
0.000629	-0.000688	0.000600	-0.000410	0.000572	-0.000146	0.01	-0.49
0.000600	-0.000410	0.000572	-0.000146	0.000545	0.000103	0.01	-0.49
0.000572	-0.000146	0.000545	0.000103	0.000520	0.000338	0.01	-0.49
0.000545	0.000103	0.000520	0.000338	0.000495	0.000559	0.01	-0.46
0.000520	0.000338	0.000495	0.000559	0.000472	0.000767	0.01	-0.44
0.000495	0.000559	0.000472	0.000767	0.000450	0.000960	0.01	-0.48
0.000472	0.000767	0.000450	0.000960	0.000429	0.001139	0.01	-0.50
0.000450	0.000960	0.000429	0.001139	0.000409	0.001306	0.01	-0.42
0.000429	0.001139	0.000409	0.001306	0.000390	0.001459	0.01	-0.42
0.000409	0.001306	0.000390	0.001459	0.000371	0.001600	0.01	-0.43
0.000390	0.001459	0.000371	0.001600	0.000354	0.001729	0.01	-0.42
0.000371	0.001600	0.000354	0.001729	0.000338	0.001846	0.01	-0.39
0.000354	0.001729	0.000338	0.001846	0.000322	0.001952	0.01	-0.39
0.000338	0.001846	0.000322	0.001952	0.000307	0.002046	0.01	-0.38
